Cả nước,11.549.848
Hà Nội,1.646.923
TP. Hồ Chí Minh,629.018
Hải Phòng,537.527
Nghệ An,502.049
Bắc Giang,391.44
Vĩnh Phúc,375.686
Hải Dương,372.391
Quảng Ninh,356.404
Bắc Ninh,353.869
Thái Nguyên,347.519
Phú Thọ,331.52
Bình Dương,325.667
Nam Định,301.101
Thái Bình,296.789
Hưng Yên,244.028
Hoà Bình,239.941
Lào Cai,188.846
Thanh Hóa,178.595
Đắk Lắk,172.439
Lạng Sơn,160.752
Yên Bái,158.046
Sơn La,153.602
Cà Mau,147.734
Tuyên Quang,147.582
Tây Ninh,140.444
Bình Định,139.89
Quảng Bình,129.648
Hà Giang,122.61
Khánh Hòa,122.036
Bình Phước,120.003
Bà Rịa - Vũng Tàu,110.822
Đà Nẵng,108.712
Đồng Nai,107.518
Ninh Bình,104.8
Vĩnh Long,103.505
Bến Tre,99.799
Cao Bằng,99.051
Lâm Đồng,98.238
Hà Nam,91.467
Điện Biên,90.757
Quảng Trị,86.293
Bắc Kạn,77.048
Cần Thơ,76.925
Lai Châu,75.519
Trà Vinh,75.174
Đắk Nông,73.427
Gia Lai,70.961
Hà Tĩnh,55.279
Bình Thuận,54.3
Đồng Tháp,51.614
Quảng Ngãi,50.513
Long An,50.297
Quảng Nam,49.556
Thừa Thiên Huế,48.186
Bạc Liêu,46.949
Phú Yên,44.481
Kiên Giang,43.659
An Giang,43.297
Tiền Giang,39.902
Sóc Trăng,34.457
Kon Tum,26.342
Hậu Giang,17.9
Ninh Thuận,9.001
